                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0817,                 3.4074,                 2.0629,                0.26927,                0.26351,                0.16667,                 0.0562,                 2.2083,                  2.944,                 2.1145,                0.07002,              0.0033311,              0.0033311
                      1,                 2.0339,                 2.6754,                 1.9499,                0.34234,                0.29768,                0.22852,                0.07836,                 2.1595,                  3.219,                  2.117,                0.03969,              0.0063346,              0.0063346
                      2,                 2.0991,                 2.7656,                 2.0241,                0.25156,                0.19846,                0.12622,                0.03936,                 2.4884,                 3.1877,                 2.3026,              0.0090302,               0.009008,               0.009008
                      3,                 2.0854,                 2.7213,                  2.036,                0.37929,                0.15226,                0.15826,                0.05592,                 2.2981,                  3.171,                 2.3131,               0.008515,               0.008515,               0.008515
                      4,                 2.0336,                 2.6498,                 1.9772,                 0.3493,                0.23925,                0.21497,                0.07144,                 2.2384,                  2.712,                 2.1192,               0.008515,               0.008515,               0.008515
                      5,                 1.9822,                 2.5191,                 1.9522,                0.36395,                0.35281,                0.26594,                0.08982,                 2.1557,                 2.6581,                 2.1079,                0.00802,                0.00802,                0.00802
                      6,                 1.9574,                 2.4782,                 1.9252,                0.36257,                0.32856,                0.26083,                0.09055,                 2.1253,                 2.7719,                 2.0951,               0.007525,               0.007525,               0.007525
                      7,                 1.9317,                 2.4395,                 1.9025,                0.35197,                0.33186,                  0.271,                 0.1025,                  2.102,                  2.611,                 2.0377,                0.00703,                0.00703,                0.00703
                      8,                 1.8987,                 2.3637,                 1.8772,                0.38338,                0.40132,                0.32134,                0.12286,                 1.9717,                 2.4392,                 2.0542,               0.006535,               0.006535,               0.006535
                      9,                  1.892,                 2.3583,                 1.8733,                0.38175,                0.39361,                0.32539,                0.12512,                 1.9806,                 2.4513,                 2.0099,                0.00604,                0.00604,                0.00604
                     10,                 1.9246,                 2.5143,                 1.9549,                0.38006,                0.37486,                0.31067,                0.12259,                 1.9293,                 2.4041,                 1.9812,               0.005545,               0.005545,               0.005545
                     11,                 1.9431,                 2.4496,                 1.9608,                 0.4048,                 0.3925,                0.33551,                0.13059,                 1.9199,                 2.4777,                 1.9786,                0.00505,                0.00505,                0.00505
                     12,                 1.8875,                 2.4387,                 1.9218,                0.36256,                0.38148,                0.30538,                0.12352,                 1.9394,                 2.3886,                 1.9735,               0.004555,               0.004555,               0.004555
                     13,                 1.8838,                 2.4066,                 1.9124,                0.41572,                0.38595,                0.33239,                0.13113,                 1.9323,                  2.354,                 1.9535,                0.00406,                0.00406,                0.00406
                     14,                 1.8767,                 2.3379,                 1.9183,                0.38486,                0.38698,                0.32467,                0.13339,                 1.8952,                 2.3682,                 1.9458,               0.003565,               0.003565,               0.003565
                     15,                 1.8611,                 2.3085,                 1.8804,                0.39524,                0.39471,                0.34335,                0.13563,                 1.9155,                  2.348,                 1.9321,                0.00307,                0.00307,                0.00307
                     16,                 1.8366,                 2.2668,                 1.8745,                0.40937,                0.41896,                0.34634,                0.14185,                 1.9189,                 2.3114,                 1.9414,               0.002575,               0.002575,               0.002575
                     17,                 1.8325,                 2.2588,                 1.8458,                0.39388,                0.42448,                0.34579,                0.14111,                 1.8959,                 2.2956,                 1.8954,                0.00208,                0.00208,                0.00208
                     18,                  1.803,                 2.2404,                 1.8224,                0.37746,                0.42248,                0.34713,                0.14314,                 1.8909,                 2.3082,                 1.8996,               0.001585,               0.001585,               0.001585
                     19,                 1.7848,                 2.2127,                 1.8104,                0.38774,                0.42227,                0.35425,                0.14229,                 1.9138,                 2.2596,                 1.9067,                0.00109,                0.00109,                0.00109
